	node	betweeness	eigenvector
76	Shaheen	7.467480916683993e-06	0.004826909035169154
77	Lisa Murkowski	0.0006116762485025795	0.013879909443072163
78	Maria Cantwell	1.0895599102397706e-05	0.004573409021041212
79	Mikulski	2.9496048097054714e-05	0.00627067054488853
80	Barbara Mikulski	9.119871170751626e-05	0.011114379171278553
81	Susan Collins	0.00021387331563754754	0.016366740795171884
82	John McCain	0.008115193845817617	0.07751170955962611
83	Michele Swers	0.0	0.00309154553450213
84	Swers	0.0	0.00309154553450213
85	John Sununu	1.3365053962457749e-05	0.00799176710115166
86	Liz Shuler	0.0	0.00309154553450213
87	Shuler	0.0	0.00309154553450213
88	Alice H.	0.0	0.00309154553450213
89	Margaret Thatcher	0.00010438612592825265	0.006918839782986501
90	Golda Meir	0.0	0.00309154553450213
91	Tim Cook	0.00010380280182269263	0.00608939032084377
92	Hassan	0.00035773719190605285	0.008381395288834255
93	Sylvia Larsen	0.0	0.00309154553450213
94	Ask Ayotte	0.0	0.00309154553450213
95	Ruth Griffin	0.0	0.003102421639665019
96	Griffin	0.0	0.003102421639665019
97	Marilla Ricker	0.0	0.00309154553450213
98	Susan McLane	0.0	0.00309154553450213
99	McLane	0.0	0.00309154553450213
100	Ann McLane Kuster	0.0	0.00309154553450213
101	Sununu	4.715709724186905e-05	0.009579184451222352
102	Vesta Roy	0.0	0.00309154553450213
103	Debbie Walsh	0.0	0.00309154553450213
104	Walsh	3.936731564445374e-05	0.00901747865060563
105	Jennifer Horn	2.0064486866756112e-05	0.008545582348420054
106	Horn	0.0	0.00309154553450213
107	Barack Obama	0.05740949052367338	0.10218658957722619
108	Bob Corker	0.00019022967438909896	0.016126143920379456
109	Ayatollah Ali Khamenei	8.794081838702056e-05	0.00447489783842801
110	Hassan Rouhani	0.00016595307841325358	0.005716152871863822
111	Corker	5.210220790496691e-05	0.009430498183946518
112	Bob Menendez	2.7658831058400392e-05	0.006523570878240232
113	Angus King	9.646828424656927e-05	0.010250788966783815
114	Chuck Schumer	0.0002812167429774842	0.02324469406378205
115	Harry Reid	0.001770478339665492	0.0627473129846669
116	Tim Kaine	0.001595336263326504	0.06631670071919166
117	Breitbart	0.0003665380917176758	0.0429260344858564
118	Pamela Geller	0.00013857237164667275	0.003971220869797939
119	Paul D. Ryan	0.0001263116305294236	0.026562401584086424
120	Islamophobia	0.0	0.003806405566788928
121	Jeb Bush	0.015263518055782951	0.0959030566262093
122	Biden	0.0026781149226716735	0.06323242636827792
123	PolitiFact	0.00018064600515919904	0.0073841004525560605
124	Newt Gingrich	0.002188909498392061	0.055751107983886425
125	John Cornyn	0.00046859758978724043	0.024132160951219297
126	John Feehery	8.118434405400659e-05	0.009676740993850486
127	E.J. Dionne’s	4.8172298654269215e-05	0.005204977455882263
128	George W. Bush	0.0	0.005278787838286041
129	Bill Bratton	0.0004491923937942082	0.005419872559255326
130	Debi Rose	0.0	0.005278787838286041
131	Bill de Blasio	0.0005492758182671214	0.01878456325108492
132	McConnell	0.0012435518734741529	0.03934323900024491
133	Mitch McConnell	0.008310810451282187	0.07442363237929166
134	Harry M. Reid	0.00017173691390014902	0.015331368907066366
135	D-Nev	0.0003822182924076974	0.02068348533779444
136	John A. Boehner	0.0004244749718504307	0.018215872920793838
137	Reid	0.0008717174840781475	0.042096225287694695
138	Adam Jentleson	3.933820328181471e-05	0.0044904030508458774
139	Alben W. Barkley	0.0	0.002599699690885008
140	Franklin D. Roosevelt	4.043191168481885e-05	0.010071967451150257
141	George Mitchell	1.3804327286672461e-05	0.003770053891651798
142	Mitchell	0.0022341472038553516	0.007002109478166727
143	George H.W. Bush	0.0021371079249766244	0.05579235093465291
144	Rand Paul	0.005410701651285312	0.05910585684739788
145	R-Ky.	0.0005699708274508388	0.028239831786750363
146	Joe Biden	0.007218475237284873	0.056585137886153776
147	Elizabeth Warren	0.0031484716355118926	0.060314112825657254
148	Bill Kristol	3.704330919878703e-05	0.0177194205686957
149	Kristol	1.524079953984797e-06	0.00658802243985699
150	Bob Vander Plaats	0.00015396573499213196	0.013122465325890616
151	Kate Bolduan	1.3266668078382717e-05	0.006895618974613427
152	Vander Plaats	7.939150949912617e-06	0.008209496691770835
153	Kendal Unruh	0.0001287373318208783	0.006794479582348626
154	Jim Bopp	0.0	0.004515655041827244
155	Bopp	0.0	0.004515655041827244
156	Solomon Yue	0.0	0.004515655041827244
157	anti-Washington	0.0	0.004515655041827244
158	Curly Haugland	1.734485394776564e-05	0.007379763538160388
159	Sean Parnell	0.0	0.004515655041827244
160	Parnell	0.0	0.004515655041827244
161	Paul Ryan	0.005947834292920429	0.08459830464381064
162	Mark Kirk	0.00034950238381433515	0.030207030837840307
163	Ryan	0.006132300844358715	0.06125529992751107
164	Marco Rubio	0.01747782008923757	0.10381676840764316
165	Gonzalo Curiel	0.0002570465213384282	0.028334886119876456
166	Curiel	6.432833326076797e-05	0.020532018122120452
167	Corey Lewandowski	0.0009859066942833773	0.047790171982997086
